Evolution of a location-based online social network: analysis and models|Miltiadis Allamanis, Salvatore Scellato, Cecilia Mascolo|IMC '12: Proceedings of the 2012 ACM conference on Internet measurement conference|2012|http://dl.acm.org/ft_gateway.cfm?id=2398793&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Social network analysis of an online dating network|Lin Chen, Richi Nayak|C&T '11: Proceedings of the 5th International Conference on Communities and Technologies|2011|http://dl.acm.org/ft_gateway.cfm?id=2103361&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Behavior statistics and social network analysis of online Go game players|Sihai Zhang; Zhiwei Song; Zhi Liang |Cloud and Service Computing (CSC), 2011 International Conference on|2011|http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6138556|
Using social network analysis to understand online homeschool network interactions|Christopher Steinmeier, Susan Yoon|ICLS '10: Proceedings of the 9th International Conference of the Learning Sciences - Volume 2 , Volume 2|2010|http://dl.acm.org/ft_gateway.cfm?id=1854725&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Network analysis of trace data for the support of group work: activity patterns in a completely online course|Sean P. Goggins, Krista Galyen, James Laffey|GROUP '10: Proceedings of the 16th ACM international conference on Supporting group work|2010|http://dl.acm.org/ft_gateway.cfm?id=1880089&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Social network analysis and mining to support the assessment of on-line student participation|Reihaneh Rabbany k., Mansoureh Takaffoli, Osmar R. Zaane|SIGKDD Explorations Newsletter , Volume 13 Issue 2|2012|http://dl.acm.org/ft_gateway.cfm?id=2207247&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Social Network Analysis and Mining for Business Applications|Francesco Bonchi, Carlos Castillo, Aristides Gionis, Alejandro Jaimes|Transactions on Intelligent Systems and Technology (TIST) , Volume 2 Issue 3|2011|http://dl.acm.org/ft_gateway.cfm?id=1961194&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Common Sense Reasoning for Detection, Prevention, and Mitigation of Cyberbullying|Karthik Dinakar, Birago Jones, Catherine Havasi, Henry Lieberman, Rosalind Picard|Transactions on Interactive Intelligent Systems (TiiS) , Volume 2 Issue 3|2012|http://dl.acm.org/ft_gateway.cfm?id=2362400&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Community: issues, definitions, and operationalization on the web|Guo Zhang, Elin K. Jacob|WWW '12 Companion: Proceedings of the 21st international conference companion on World Wide Web|2012|http://dl.acm.org/ft_gateway.cfm?id=2188250&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Socializing or knowledge sharing?: characterizing social intent in community question answering|Eduarda Mendes Rodrigues, Natasa Milic-Frayling|CIKM '09: Proceeding of the 18th ACM conference on Information and knowledge management|2009|http://dl.acm.org/ft_gateway.cfm?id=1646096&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Trends, similarities, and differences in the usage of teen and senior public online newsgroups|Panayiotis Zaphiris, Rifaht Sarwar|Transactions on Computer-Human Interaction (TOCHI) , Volume 13 Issue 3|2006|http://dl.acm.org/ft_gateway.cfm?id=1183461&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Brewing up citizen engagement: the coffee party on facebook|Christopher M. Mascaro, Sean P. Goggins|C&T '11: Proceedings of the 5th International Conference on Communities and Technologies|2011|http://dl.acm.org/ft_gateway.cfm?id=2103357&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Impact of social influence in e-commerce decision making|Young Ae Kim, Jaideep Srivastava|ICEC '07: Proceedings of the ninth international conference on Electronic commerce|2007|http://dl.acm.org/ft_gateway.cfm?id=1282157&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Expertise networks in online communities: structure and algorithms|Jun Zhang, Mark S. Ackerman, Lada Adamic|WWW '07: Proceedings of the 16th international conference on World Wide Web|2007|http://dl.acm.org/ft_gateway.cfm?id=1242603&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Enabling internet singularity within the electronic commerce trust model|Omer Mahmood, Selvadurai Selvakennedy|SIGecom Exchanges , Volume 7 Issue 2|2008|http://dl.acm.org/ft_gateway.cfm?id=1399601&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Predicting offline behaviors from online features: an ego-centric dynamical network approach|Lianghao Dai, Jar-der Luo, Xiaoming Fu, Zhichao Li|HotSocial '12: Proceedings of the First ACM International Workshop on Hot Topics on Interdisciplinary Social Networks Research|2012|http://dl.acm.org/ft_gateway.cfm?id=2392625&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
A matrix factorization technique with trust propagation for recommendation in social networks|Mohsen Jamali, Martin Ester|RecSys '10: Proceedings of the fourth ACM conference on Recommender systems|2010|http://dl.acm.org/ft_gateway.cfm?id=1864736&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
A comparative study of smoking cessation intervention programs on social media|Mi Zhang, Christopher C. Yang, Jiexun Li|SBP'12: Proceedings of the 5th international conference on Social Computing, Behavioral-Cultural Modeling and Prediction|2012|http://dl.acm.org/ft_gateway.cfm?id=2260777&type=external&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Socio-technical developer networks: should we trust our measurements?|Andrew Meneely, Laurie Williams|ICSE '11: Proceeding of the 33rd International Conference on Software Engineering|2011|http://dl.acm.org/ft_gateway.cfm?id=1985832&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
Generating predictive models of learner community dynamics|Chris Teplovs, Nobuko Fujita, Ravi Vatrapu|LAK '11: Proceedings of the 1st International Conference on Learning Analytics and Knowledge|2011|http://dl.acm.org/ft_gateway.cfm?id=2090139&type=pdf&coll=DL&dl=ACM&CFID=278914302&CFTOKEN=20389009|
